type,choreographer,label
C,Nona Malki,Me'ever Lagader
P,Gadi Bitton,Me'ever Lakatuv
C,Eran Bitton,Me'ever Lamasach
C,Eliyahu Gamliel,"Me'ever Lanahar (C, Eliyahu Gamliel)"
C,Shmulik Gov Ari,"Me'ever Lanahar (C, Shmulik Gov Ari)"
P,Gadi Bitton,Me'ever Lanahar (P)
C,Nurit Melamed,Mefached Alayich
P,Rivka Sturman,Megadim Lere'I
P,Victor Gabbay,Megaleh Otach Halaila
P,Shalom Hermon,Megared Li (Harikud Haskandanavi)
P,Yossi Azani,Mehalev
P,Yoram Sasson,Mehamerchakim
CL,Eran Bitton,Mehapecha Shel Simcha
C,Avi Levy,Mehashamayim
P,Rafi Ziv,Mehashniya Harishona
C,Eli Ronen,Mehera
C,Avner Naim,Mei Hanechalim (Shir Al Nehalim)
C,Yaron Ben Simhon,Mei Nahar
P,Oren Bachar,Meil Echad Bageshem
L, ,Meirland Beahava
C,Elad Shtamer,Mekanah
C,Gadi Bitton,Mekudeshet
C,Israel Shiker,Melach Ha'arets
C,Edo Israely,Melach Yam
C,Nourit Grinfeld,Melech
C,Dov Orbach,Melech Amiti
C,Gadi Bitton,Melech Basukkah
C,Maurice Perez,Melech Echad
P,Dror Davidi-Gadi Bitton,Melech Habrichot
C,Shlomo Maman,Melech Hamigrash (Choleh Al Kadurregel)
C,Nurit Melamed,Melech Haolam (Nurit Melamed)
C,Rafi Ziv,Melech Haolam (Rafi Ziv)
C,Sagi Azran,Melech Israel
C,Eyal Ozeri,Melech Melech
C, ,Melech Ozer
C,Nurit Melamed,Meloch Al Kol Ha'olam
P,Ayala Bumstein,Melodi
L,Orly Setareh,Melody
P,Shlomo Maman,Memidbar Lemidbar
L,Eyal Malach,Men In Black
C,Elad Shtamer,Menagen (Elad Shtamer)
C,Yaron Elfasy,Menagen (Yaron Elfasy)
P,Yoram Sasson,Menagen Otach
C,Eli Segal,Menagen Ve'Shar
P,Rafi Ziv,Menagev Lach T'admaot (Lenagev Lach Et Hadmaot)
C,Yaron Elfasy,Menasim
P,Ofer Alfasi,Menatsachat Bachayim
C,Meir Shem Tov,Meohav
C,Dudu Barzilay,Meohav Ad Hashamayim
P,Sefi Aviv,Meohav Al Hamirpeset (Sefi Aviv)
P,Avi Perez,Meohav Al Hamirpeset (Avi Perez)
P,Rafi Subara,Meohav Bach
P,Avi Perez,Meohav Bach Ad Dma'ot
P,Israel Shiker,Meohav Bageshem (Quijote)
P,Eti Sade,Meohav Kol Halaila
P,Chen Shporen,Meohav Midai
C,Danny Uziel,Merachef Baru'ach (Danny Uziel)
C,Shlomo Maman,Merachef Baru'ach (Shlomo Maman)
P,Bonny Piha,Merachok
C,Sagi Azran,Merci
P,Moshe Telem,Mered Neurim
C,Rafi Ziv,Merim Et Harosh
PQ,Pioneer,Merkava
C,Shmulik Gov Ari,Meron
C,Shmulik Gov Ari,Merots Gmalim
C,Ilan Benedict,Merots Hachaim
P,"Mali Lipson, Moshe",Merov Ahava
P,Nir Dor,Mery Lu
P,Shmulik Gov Ari,Mesacheket Be'esh
C,Shmulik Gov Ari,Meshirey Erets Ahavati
C,Fred Lerouge,Meshuga'at
C,Gadi Bitton,Meshugaim
P,Kobi Michaeli,Met Lechabek Otach
P,Rafi Ziv,Met Lehagid Lach
C,Gideon Dan,Met Lichiyot
C,"Oren Ashkenazi, Eli Segal",Meteor
p,Shlomo Maman,Metim Me'ahava
C,Shmulik Gov Ari,Metofefet
P,Dudu Barzilay,Metsiut Acheret
p,Shlomo Maman,Metsi'ut Yafa
C,Gadi Bitton,Metuka Sheli (C)
P,Moti Ben Ya'akov,Metuka Sheli (P)
C,Dudu Barzilay,Metuka Veraka (Raka U'Metuka)
C,"Avi Levy, Dudu Barzilay, Yaron Malihi",Metukim
P,Naftaly Kadosh,Me'uchar Miday (Naftaly Kadosh)
P,"Denise Borgi, Ami Evenchaim","Me'uchar Miday (Denise Borgi, Ami Evenchaim)"
C,Adi Atiram,Meushar
C,Ohad Atia,Meusharim (Ohad Atia)
c,Ariane Butel,Meusharim (Ariane Butel)
C,Dudi Amir,Meusheret
P,"Leslie Asaraf, Yosi Cohen",Mevakshim Chayim
C,Yael Yaakovee,Mevarech Hashanim
P,Chayim Ochayon,Mevin Et Ze
C,Ilai Szpiezak,Mevorechet
C,Adi Cohen,Mexico (C)
L,Ilai Szpiezak,Mexico (L)
C,Shalom Hermon,Mezareh Israel (C)
PT,Gurit Kadman,Mezareh Israel (PT)
P,Moshe Tawily,Mezeg Ha'avir
,Menashe Perez,Mi Amar
P,Moti Ben Ya'akov,Mi Amor
L,Chen Shporen,Mi Amore
C,Yom Tov Ochayon,Mi Ani
C,Gadi Bitton,Mi Ani Hayom
C,Yo'av Ashriel,Mi Barechev Mi Baregel (C)
,Steve Edison,Mi Barechev Mi Baregel ()
L,Carina Saslavsky,Mi Chica
C,Eliyahu Gamliel,Mi Ha'ish
C,Noah Moore Amsalem,Mi Hashokolad
C,Moshiko Halevy,Mi Kamocha
C,Meir Shem Tov,Mi Ke'amcha (Mi Kamocha)
C,Israel Yakovee,Mi Li Yiten (C)
L,Silvio Berlfein,Mi Li Yiten (L)
P,Se'adia Amishai,Mi Li Yiten (P)
C,Michael Barzelai-Sharon Elkaslassy,Mi Lo Yavo
C,Shlomo Maman,Mi Meyaleil (Erets Israel)
CK,Levi Bar Gil,Mi Ohev Et Hashabat
P,Gadi Bitton,Mi Ohev Otach Yoter Mimeni
P,Yaron Elfasy,Mi Otach Yohav
,Sefi Aviv,Mi Schechalam Lo
C,Nurit Melamed,Mi Sheberech
C,Dalia Maktubi,Mi Shema'amin
L,Alberto Zirlinger,Mi Shemabit (Mi Shemabit Bi)
, ,Mi Shesoneh Otach Yamut
P,Eli Segal,Mi Tirzi She'ehiye
C,Oren Ashkenazi,Mi Yada Shekach Yihiye
C,Shari Moreno - Daniela Welch,Mi Yagid Lach Lo
C,Avi Levy,Mi Yatsil Otanu
C,Corinne Chochem,Mi Yemalel (C)
,Dvora Lapson,Mi Yemalel ()
P,Yo'av Ashriel,Mi Yesh Lo Riva Kazot
C,Israel Yakovee,Mi Yimtsa Li
C,Shmulik Gov Ari,Mi Yishmor Alenu
C,Victor Gabbay,Mi Yiten
C,Avi Perez,Mi Yiten Ve'amen
C,Yo'av Ashriel,Mi Yitneni Of (Shirat Hanoded)
P,Yo'av Ashriel,Mi Yivneh Bayit (P)
U,Yonatan Karmon,Mi Yivneh Bayit (U)
P,Shlomo Maman,Mi Yode'a
C,Dudu Barzilay,Mi Yohav Otach Kamoni
P,Shmulik Gov Ari,Mi Zot
P,Gadi Bitton,Miami
L,Moshiko Halevy,Mi'Bni
P,Rafi Ziv,Micha'ela
P,Yaakov Mariyoma,Michal Sheli
P,Moshe Telem,Michtav
P,Eli Ronen,Michtav Ahava (Eli Ronen)
P,Itzik Sa'ada,Michtav Ahava (Itzik Sa'ada)
P,Eli Ronen,Michtav Bachol
P,Shmulik Bekhar,Michtav Katan
C,Israel Yakovee,Midbar (Israel Yakovee)
C,Oren Ashkenazi,Midbar (Oren Ashkenazi)
C,Meir Shem Tov,Midbar Mayim Vaesh
C,Shmulik Gov Ari,Midbar Medaber
P,Shmulik Gov Ari,Midbar Veyam
L,Connie L. Katz,Middle East
P,Shmulik Gov Ari,Miflas Matsav Haru'ach
C,Dede Luski,Mifrats Shlomo (C)
,Meir Shem Tov,Mifrats Shlomo ()
C,Meir Shem Tov,Migavoha
P,Eli Ronen,Migdalor (Eli Ronen)
P,David Edery,Migdalor (David Edery)
P,Moshe Telem,Migdalor Belevavi
P,Avi Amsalam,Mikan (Avi Amsalam)
P,Yaron Malihi,Mikan (Yaron Malihi)
C,Tuvia Tishler,Mikarov
C,Yom Tov Ochayon,Mikdash Ha'ahava (Mikdash Ahava)
C,Rina Rinkewich,Mikol Ahavati
P,Yaron Ben Simhon,Mikol Ha'acherot
P,Batya Kronenberg,Mikol Ha'ahavot
P,Yaron Malihi,Mikol Halev
C,Victor Gabbay,Mikol Otam Hapizmonim
P,Shlomo Maman,Mikol Pirchey Mor (Shlomo Maman)
P,Shlomo Maman,Mikol Pirchey Mor (Shlomo Maman)
C,Avi Levy,Miktsav BeMarokayit
C,Shulamit Rada,Miktsav Emanuel (Sar Sari)
C,Barry Avidan,Miktsavela
C,Yoni Carr,Mila Pshuta
C,Yaron Ben Simhon,Mila Shel Gever
C,Victor Gabbay,Mila Sheli
C,Robin Starr,Mila Tova (Robin Starr)
C,Shlomo Maman,Mila Tova (Shlomo Maman)
C,Tamir Shalev,Mila Tova (Tamir Shalev)
C,Nurit Melamed,Mila Veod Mila (C)
P,Moshe Eskayo,Mila Veod Mila (P)
C,Shmulik Gov Ari,Milemala
ck,Oren Ashkenazi-Lena Ashkenazi,Milev Adama
C,Jonathan Gabay,Milev El Lev
P,Ohad Atia,Milim
P,Nir Dor,Milim (Techaiychi Elai)
P,Gadi Bitton,Milim La'ahava
C,Sefi Aviv,Milim Shel Shalom
P,Yaron Elfasy,Milim Yafot
P,Gadi Bitton,Milim Yafot Meele
C,Boaz Cohen,Milion
C,"Ya'ir Bino, Chagi Frank",Milion O Dollar
P,Shmulik Gov Ari,Milion Shel Chalomot
P,Dudu Barzilay,Milion Sibot
P,Tuvia Tishler-Gila Paz,Miliyon Vradim Adumim
C,Rafi Ziv,Million Kochavim
, ,Million Neshikot
C,Gadi Bitton,Milot Toda
P,Sharon Elkaslassy,Mima At Mefachedet
P,Shlomo Maman,Mima’amakim 2
P,Shlomo Maman,Mima'amakim
P,Shlomo Maman,Mima'amakim (Anamim)
C,Itzik Ben Dahan,Mima'amakim Umtsulot Yam
C,Nurit Melamed,Mima'on Shamecha
C,Rafi Ziv,Mimcha Ad Elai
C,Rafi Ziv,Mimecha Ad Elai
P,Chayim Ochayon,Mimeni Elaiych
C,Rafi Ziv,Mimi
C,Elad Shtamer,Min Hametsar
, ,Min Hayam
C,"Ohad Atia, Gadi Bitton",Min'i Kolech Mibechi
C,Nurit Melamed,Minishmati
C,Karina Lambert,Mirdaf
P,Meir Shem Tov,Mirpasot Tel-Aviv
L,Folk,Mirza
C,Nourit Grinfeld,Misaviv Lamedura
P,Avi Amsalam,Mis'chak Ahava
P,Naftaly Kadosh,Mis'chak Hadmaot
P,Moshe Telem,Mis'chak Haneurim
C,Shmuel (Vicki) Cohen,Mis'chakim
C,Shlomo Bachar,Misgav
C,Rafi Ziv,Mishaela (C)
,Moshiko Halevy,Mishaela ()
C,Shira Waitzman,Mishahu Acher
C,Moshiko Halevy,Mishal (Debka Mishal)
C,Shmulik Gov Ari,Mishamayim
P,Gadi Bitton,Mishehu
P,Eli Lapid,Mishehu Ahavti (Ma Haperach)
C,Yaakov Mariyoma,Mishehu Bi Yeled
P,Meir Shem Tov,Mishehu Choshev
PW, ,Mishehu Holech Tamid - Wh.Chair
P,Chayim Shiryon,Mishehu Holech Tamid Iti (Chayim Shiryon)
P,Jonathan Gabay,Mishehu Holech Tamid Iti (Jonathan Gabay)
C,"Almog Ben Ami, Michael Barzilai",Mishehu Iti Kan
P,Ben Azar,Mishehu Mashehu
P,Gadi Bitton,Mishehu Ohev Otach
P,Miri Akuni,Mishehu Pa'am
P,Itzik Sa'ada,Mishehu Shar Bamidbar
U, ,Mishmar Hagvul
P,Yankale Levy,Mish'ol Hapere (Mitpatel Misholey Hapere)
C,Victor Gabbay,Mishpachat Tsanani
P,"Eli Segal, Sefi Aviv",Mishtage'a Me'ahavatech
C,Nona Malki,Mishtolelet Bchuts
C,Orly Shemesh,Mishu Dofek Badelet
C,Oren Shmuel,Miss Music
C,Maor Ben-Ami,Mistapek Bema Sheyesh
C,Naftaly Kadosh,Mistovev (Naftaly Kadosh)
C,Gadi Bitton,Mistovev (Gadi Bitton)
C,Meir Shem Tov,Mistovevet Baleilot
P,Ya'ir Harel,Mistovevet Lach (Shuv At Mistovevet Lach)
C,Shmulik Gov Ari,Mitachat La'adama
C,"Mali Lipson, Moshe",Mitachat Lamayim
P,Meir Shem Tov,Mitachat Lashamayim
P,Peri Shachaf,Mitachat Le'ets Hashikma
P,Mati Avraham & Shuli Grinvelet,Mitahev Bach
P,Shlomi Mordechai,Mitan Shel Regashot
C,Nurit Melamed,Mitarachat Baolam
P,Dudu Barzilay,Mitchamek Meshigaon
,Yaakov Sassi,Miteyman Leisrael
P,Gadi Bitton,Mitga'aga'at Otcha
P,Shulamit Rada,Mitga'agat
C,Carmit De Kalo,Mitga'age'a
C,"Yardena Leib, Maytal Leib","Mitga'agei'a (C, Yardena Leib, Maytal Leib)"
C,Yaron Malihi,"Mitga'agei'a (C, Yaron Malihi)"
P,Shlomo Maman,Mitga'agei'a (P)
P,Gadi Bitton,Mitkarev
c,Rafi Ziv,Mitoch Tmimut
C,Shmulik Gov Ari,Mitof Letof (Debka Mitof Letof)
P,Israel Shiker,Mitpaneket
P,Yael Twito,Mitpozez Li Harosh
P,Yoram Sasson,Mitragesh Mimech
P,Yo'av Ashriel,Mitria Beshnaeim
P,Barry Avidan,Mitriya Lishnayim (Shneinu Yachad)
PM,American,Mitsad America'i (America Promenade)
C,Naftaly Kadosh,Mitshalot (Naftaly Kadosh)
C,Yoram Rachmany,Mitshalot (Yoram Rachmany)
C,Naftaly Kadosh,Mitsta'er
P,Yo'av Ashriel,Mitsva Tanz (Rikud Mitsva)
C,Sagi Azran,Mix Morokai (Bled Mix)
C,Meir Shem Tov,Mizmor Laila (Keren Or)
C,Moshiko Halevy,Mizmor Leamor
C,Moshiko Halevy,Mizmor LeDavid (Moshiko Halevy)
C,Tuvia Tishler,Mizmor LeDavid (Tuvia Tishler)
C,Elad Shtamer,Mizmor LeDavid (Elad Shtamer)
C,Meir Shem Tov,Mizmor LeGilad
C,Marco Ben Shimon,Mizmor Lenichochei Chatsir
C,Eli Ronen,Mizmor Leshabbat
C,"Yaron Malihi, Dudu Barzilay",Mizmor Letoda
C,Itzik Ben Dahan,Mizmor Letoda Hariu
C,Shlomo Maman,Mizmor Shabbat
C,Moshiko Halevy,Mizmor Shir
C,Dani Dassa,Mizmor Shir (Tov Lehodot)
C,Barry Avidan,Mizmor Shiru Ladonay
C,Shmulik Gov Ari,Mizmorei Nevochim
C,Avner Naim,Mizmorim (Mizmor Ledavid)
C,Moshiko Halevy,Mizrach Ma'arav (Moshiko Halevy)
C,Nir Dor,Mizrach Ma'arav (Nir Dor)
P,Boaz Cohen,Mleat Ahava
L,Eyal Malach,Mmbop
C,Gadi Bitton,Mocher Garinim
PT,Israel Yakovee,Mocher Prachim (Hora Perach)
C,Chana Shuvaly,Moda Ani (Modah Ani)
C,Nurit Melamed,Mode ani
C,Yaron Elfasy,"Modeh Ani (C, Yaron Elfasy)"
C,Sharon Elkaslassy,"Modeh Ani (C, Sharon Elkaslassy)"
P,Victor Gabbay,Modeh Ani (P)
C,Avi Perez,Modeh Ani Lefaneicha
L,Ira Weisburd,Mojo Mambo
c,Tamir Shalev,Mon Amour
P,Tamir Shalev,Mon Cheri
C,Israel Shiker,Mono Mono
C,Moshiko Halevy,Monotoni
C,Moshiko Halevy,Mor
P,Yaron Elfasy,Mor Vekinamon (Achoti Ruchama)
C,Nir Dor,Moral (Hamoral)
C,Israel Yakovee,Morasha
C,Gadi Bitton,More Lechayim
C,Shmulik Gov Ari,Moreh Nevochim
PL,"Frederic Lerouge, Noriane Lerouge",Morenita
C,Sefi Aviv,Morenu (Sefi Aviv)
C,Shmulik Gov Ari,Morenu (Shmulik Gov Ari)
C,Didi Dosh,Mori (Hamori) (Didi Dosh)
C,Itzik Biton,Mori (Hamori) (Itzik Biton)
C,Se'adia Amishai,Mori Se'adia
c,Sharon Elkaslassy,Moridim Et Hayareach
C,Yaron Ben Simhon,Moshe (Yaron Ben Simhon)
C,Israel Shiker,Moshe (Israel Shiker)
pk,Levy Bargil-Chana Nitzan,Moshe Bateva
C,Moshiko Halevy,Moshi Tanas
C,Amnon Amram,Motek (C)
P,Moshe Shem Tov,Motek (P)
C,Yaron Malihi,Motek Al Telchi
P,Meir Shem Tov,Motek Lo Lidog (Ein Lach Ma Lidog)
P,Shimon Assor,Motek Sheli (Nini Kanji)
C,Moshiko Halevy,Moti
P,Elad Perl,Motse Bach
L,"Carina Saslavsky, Daniela Welch",Moviendo Caderas
C,Levi Bargil,Mr. Superman
C,Avi Levy,Muazin
L,Daniela Welch,Muchacha
L,Gideon Dan,Mucho Mambo (Sway)
P,Elad Shtamer,Muchrachim Lihiot Sameach
C,Yaron Malihi,Mudbira
L,Meir Shem Tov,Mueve Mueve (Lazus Lazus)
C,Galit & Michal,Mugzam
P,Ayelet Bargil,Mukeret Li Mipam
C,Israel Shiker,Mul Chaloncha
C,Jack Ochayon,Mul Gesher Hanahar
C,Bentzi Tiram,Mul Har Sinai
C,Tuvia Tishler,Mul Hayam Hatichon
P,Sharon Elkaslassy,Mul Kol Haolam
P,Sharon Elkaslassy,Mul Shamayim
C,Tamir Scherzer,Murcia
P,Ilan Benedict,Musag La'ahava
C,Shmulik Gov Ari,Mushanti
C,Yuval Ma'ayan,Mushlemet
C,Maurice Perez,Musika Menagenet Ahava
L,Shlomo Bachar,Muzica (Musica Nisheret)
C,Levi Bargil,Muzica Al Pnei Hamayim
P,Avi Perez,Muzica Lanetsach (Muzica Hi Neshika Lanetsach)
P,Avi Amsalam,My Love
L,Gideon Dan,My Oh My
C,Ira Weisburd,Na Na Na
P,Israel Shiker,Na Venad (Shar Le Ahava)
P,Tamir Shalev,Na'agat Li Balev
P,Ron Nistal,Na'alayim (Nagni Gitara)
C,Shmulik Gov Ari,Na'ale Lirushalayim
C,Shmulik Gov Ari,Na'aleh Na'aleh
C,Shmulik Gov Ari,Na'aleh Yerushalayim
P,Motti Elfasy,Na'ama (Motti Elfasy)
P,Bentzi Tiram,Na'ama (Bentzi Tiram)
P,Marco Ben Shimon,Na'ama (Marco Ben Shimon)
P,Peri Shachaf,Na'ama (Peri Shachaf)
P,Avi Levy,Na'ana
P,Israel Yakovee,Na'aneh La'el
P,Moshe Eskayo,Na'arah
C,Victor Gabbay,Na'arah (Na'arati)
P,Marco Ben Shimon,Na'arah Bemishkafaim
C,Ya'ir Menashe,Na'arah Mamash Otsar
C,Gabi Tiram,Na'arah Mi Eiyei Yavan
P,Israel Shiker,Na'arah Misfarad
P,Shmulik Gov Ari,Na'arah Ushmah Kinneret (P)
,Yaacov Biton,Na'arah Ushmah Kinneret ()
C,Amir Katz,Na'arat Hachalomot
P,Amnon Eilat,Na'ari Ahuvi
P,Marco Ben Shimon,Na'ari Beyam Beito
P,Roni Siman Tov,Na'ari Shuva Elay
C,Denise Pripas Schinazi,Na'ase Sameach
PK,Levi Bargil,Na'ase Venishma
P,Meir Shem Tov,Nachal Hataninim
PW,Meir Shem Tov,Nachal Hataninim - Wh.Chair
C,Ilai Szpiezak,Nachal Nachal
C,Meir Amsalam,Nachal Yam
C,Nurit Melamed,Nachamuni
C,Cynthia Vinokur,Nachash (Shir Hapazam)
P,Israel Shiker,Nachon At Yafa
C,Israel Shiker,Nachon Lehayom
P,"Nourit Grinfeld, Marco Ben Shimon",Nachon She'at Kan (Ahava)
C,Yardena Cohen,Nad Ilan
C,Yonatan Karmon,Nad Ilan (Tapuch Hinani)
U,Tzipi Cohen,Nad Ned
C,Shmulik Gov Ari,Nadam Kol Off (C)
P,Shimon David,Nadam Kol Off (P)
C,Marco Ben Shimon,Nadia
C,Gadi Bitton,Nadlik Beyachad Ner
C,Meir Shem Tov,Nadnedi
C,Ofer Alfasi,Nafalti Kamti
C,Avner Naim,Nafeli (Tango to Nefeli)
C,Nurit Melamed,Nafshi
C,Motti Elfasy,Nafshi Homa (Debka Esh)
C,Avi Perez,Nafshi Kalta
C,Yaron Ben Simhon,Nagat Li Baneshama
C,Israel Shiker,Nagen Li Meitar
C,Israel Shiker,Nagen Li Yarden (C)
U,Fredie Cohen,Nagen Li Yarden (U)
P,Amnon Amram,Nagen Orpheos (Orfeus)
P,Yom Tov Ochayon,Nagni Eiti
C,David Ben David,"Nagni Gitara (C, David Ben David)"
C,Amnon Sha'uli,"Nagni Gitara (C, Amnon Sha'uli)"
P,Israel Shiker,Nagni Gitara (P)
C,Sefi Aviv,Nagni Harmonica
C,Sefi Aviv,Nagni Kineret
p,Shlomo Maman,Nahar
L,Fred Lerouge,Naim Meod
L,"Dudu Barzilay, Yaron Ben Simchon",Na'im Me'od Lo'ai
C,Robin Starr,Nama Yaffo
C,Mike Varon,Names Mimech
LK,Levi Bar Gil,Namesta (Levi Bar Gil)
LK,Chen Shporen,Namesta (Chen Shporen)
C,Nurit Melamed,Namid Pnei Yetomim
P,Yoram Sasson,Namshich Et Hachalom (Itach Ani Nishar)
C,Rafi Ziv,Namut Alik
C,Gadi Bitton,Nanu Ney
C,Ofer Tzofi,Naom Hatslilim
L,Shlomo Bachar,Naomi (Ani Cholem Al Neomi)
L,Israel Yakovee,Nargila
C,Victor Gabbay,Narkisim
C,Shmulik Gov Ari,Nash Didan
C,Oren Ashkenazi,Nashir Amen
C,Yossi Azani,Nashir Shalom
C,Victor Gabbay,Nashira
C,Shimon Shuker,Nashira Lashalom
C,Roni Siman Tov,Nashira Shir (Ashira Shir)
C,Tamir Shalev,Nashkeni (Mi Nashkeni)
P,Avi Perez,Nashkini Harbeh
C,"Tuvia Tishler, Gila Paz",Nashkini Na
C,Yaron Ben Simhon,Nashlim Et Hakol
C,Shlomo Maman,Nasich Shel Hachayim
C,Yo'av Ashriel,Nasser Mechake Le Rabin
C,Ira Weisburd,Natane To 1821
C,Tamir Shalev,Natat Leha'amin
c,Dudu Barzilay,Natata Li (Harbe Nachat)
P,Ilai Szpiezak,Natata Li Ota
L,Maurice Perez,Natati Ets
C,Nir Dor,Natati Lach Chayai (C)
,Moshe Cafri,Natati Lach Chayai ()
C,Shmulik Gov Ari,Natchil Mechadash
C,Orly Setareh,Nauf Bishnayim (Olam Shel Chalomot)
C,Yaron Ben Simhon,Navo Beshalom
C,Boaz Cohen,Ne’imat Hachamisha
C, ,Nechil Hadvash
C,Avi Perez,Nechitot Ve'amraot
P,Jack Ochayon,Nedaber Mehalev
C,"Dudu Barzilay, Itzik Ben Dahan",Nedivim
C,Rafi Ziv,Nedudim
C,Shmulik Gov Ari,Nedunia (Dan Vedana)
P,Hertzel Shmueli + Rotem Shmueli,Ne'echaz Ba'avir
C,Nurit Melamed,Ne'echaz Batmimut
C,Moshiko Halevy,Ne'emat Hashuk
C,Ilan Swisa,Ne'esaf Tishrei
C,Dvora Lapson,Negev Shelanu
C,Oren Shmuel,Neginat Ha'amel (Shuv Ole Haboker)
P,Ran Hirsh,Nehederet
P,Nona Malki,Nehederet Medi
P,Nona Malki,Neheneti Nora
PM,Moshiko Halevy,Neima Tajikit
P,Ron Nistal,Neimat Ha'ahava
C,Rafi Ziv,Neimat Ha'ikar
L,Sagi Azran,Neimat HaKtifa
C,Yaron Elfasy,Neimat Hamachol
P,"Victor Gabbay, Brigit Young",Neimat Hamidbar
C,Shlomo Maman,Neimat Hanoded
C,Shlomo Maman,Neimat Hashikorim
C,Moshiko Halevy,Neimat Hashuk
C,Victor Gabbay,Neimat Hatabak
C,Boaz Cohen,Neimat Hateomim
C,Shlomo Maman,Neimat Hatsoani
C,Ilai Szpiezak,Neimat Hatsoanim
C,Dudu Barzilay,Neimat Kaveret (Hatamnun Haiter)
C,Marco Ben Shimon,Neimat Kessem
C,Israel Shiker,Neimat Stav
L,Moshiko Halevy,Neimat Targil Boker
L,Yo'av Ashriel,Neomi (Ani Cholem Al Neomi) (Yo'av Ashriel)
L,Bentzi Tiram,Neomi (Ani Cholem Al Neomi) (Bentzi Tiram)
C,Yoram Sasson,Neomi (Ani Colem Al Neomi)
C,Nurit Melamed,Nepal
P,Avi Levy,Ner Al Hachalon
C,Yoram Rachmany,Nerot Shabat (Yoram Rachmany)
C,Moshiko Halevy,Nerot Shabat (Moshiko Halevy)
C,Victor Gabbay,Neshama Sheli
C,Sagi Azran,Neshel Hanachash
C,Nurit Melamed,Neshichat Ha'ir
C,Eli Segal,Neshika Achat Mimech
P,Eyal Ozeri,Neshika Ktana
C,Elad Shtamer,Neshika Ladod
P, ,Neshika Shel Esh
L,Meir Shem Tov,Neshikah Turkit (Turkish Kiss)
P,Amnon Amram,Neshikat Shalhevet (Neshika Shel Or)
C,Bentzi Tiram,Neshikot Ahava
C,Elad Shtamer,Neshima (C)
P,Edo Israely,Neshima (P)
C,Israel Shiker,Neshima Amuka
P,Shlomo Maman,Neshima Aruka
C,Kobi Michaeli,Nesicha
P,Tamir Shalev,Nesicha Sheli
C,Nurit Melamed,Nesichat Ha'ir
C,Avi Levy,Nesiya Tova (Nesiyah Tovah)
P,Moshiko Halevy,Netafim
c,Tuvia Tishler,Ne'ula Hi Dalti
P,Reuben Partock,Neum Hayonah
P,Eli Segal,Neuraich
C,"Chilik Jano, Moshe Jano",Neurei Ashdod
P,Itzik Sa'ada,Neurey Zahav
C,Eli Ronen,Neurim (Ahavat Neurim)
P, ,Neurim Avudim
C,Shlomo Maman,Nevatim
C,Nurit Melamed,Neve Tlaot
C,Shlomo Maman,Neveh Midbar
C,Eli Ronen,Nevel Mizahav
L,Eyal Malach,Never Gonna Get It
L,Shelly Baram,New York New York
P,Shlomo Maman,Nichnast Li Lalev
P,Naftaly Kadosh,Nichtav Lach (Nichtav Elaich)
C,Tamir Shalev,Nifnuf Shel Zro'ot
P,Yehuda Sabag,Nifradnu Kach (Yehuda Sabag)
P,Liran Zecharya Amir-Gadi Bitton,Nifradnu Kach (Liran Zecharya Amir-Gadi Bitton)
C,Shlomo Maman,Niga El Hachalom
C,Ohad Atia,Nigmar
C,Fred Berk,Nigun (C)
PM,Vytautus Beliajus,Nigun (PM)
C,Rivka Sturman,Nigun Atik (Zemer Atik) (C)
P,Rivka Sturman,Nigun Atik (Zemer Atik) (P)
P,Dani Dassa,Nigun Balev
C,Israel Shiker,Nigun Bein Hashmashot
C,Maurice Perez,Nigun Chadash
C,Israel Shiker,Nigun Chassidim
P,"Nurit Melamed, Sharon Elkaslassy",Nigun Hachayim
U, ,Nigun Leisrael
C,Elazar Ben Lulu,Nigun Lenachche
C,Michal Pellach,Nigun Neshama
C,Shlomo Bachar,Nigun Nigunim
C,Rafi Ziv,Nigun Romani
C,Elad Shtamer,Nigun Sameach (C)
P,Marco Ben Shimon,Nigun Sameach (P)
C,Marco Ben Shimon,Nigun Shebalev (Hanigun Shebalev)
C,Israel Shabtai,Nigun Simcha (Israel Shabtai)
C,Shulamit Rada,Nigun Simcha (Shulamit Rada)
C,Ilai Szpiezak,Niguna Alma
P,Shmulik Gov Ari,Niguna Shel Hashchuna
C,Boaz Cohen,Niguna Shel Shlomit
C, ,Nigunim (C)
P,Bentzi Tiram,"Nigunim (P, Bentzi Tiram)"
P,Yo'av Ashriel,"Nigunim (P, Yo'av Ashriel)"
P,"Mali Lipson, Moshe","Nigunim (P, Mali Lipson, Moshe)"
C,Shlomo Maman,Niguno Shel Berel
C,Shlomo Maman,"Niguno Shel Uri (C, Shlomo Maman)"
C,Hagai Ramati,"Niguno Shel Uri (C, Hagai Ramati)"
U,Maurice Perez,Niguno Shel Uri (U)
PM,Raaya Spivak,Niguno Shel Yossi
C,Moshiko Halevy,Nijad
P,Amnon Amram,Nimna Mimech
C,Moshiko Halevy,Nina
C,Avi Levy,Ninal Bemabato
c,Tamir Shalev,Nipagesh Bachalomot
C,Nir Dor,Nirim
C,Rafi Ziv,Nirkod
C,Gadi Bitton,Nirkod Kulanu (Shana Tova)
C,Peter Leipnik,Nirkod Lashalom
C,Shmulik Gov Ari,Nirkod Nishkach (C)
P,Gabi Ben Baruch,Nirkod Nishkach (P)
C,Karina Lambert,Nirkod Nismach
